date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:04	832/832	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Aug%202025%2019:03:03%20GMT	https://preview.cruip.com/robots.txt		(from )
12:03:05	156355/156355	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2008:47:17%20GMT	https://preview.cruip.com/mosaic/	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/index.html	(from )
12:03:05	16166/16166	---MCZ	200	added ('OK')	text/css	etag:W/%226687b318-3f26%22	https://preview.cruip.com/mosaic/css/vendors/flatpickr.min.css	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/css/vendors/flatpickr.min.css	(from https://preview.cruip.com/mosaic/)
12:03:05	88006/88006	---MCZ	200	added ('OK')	text/css	etag:W/%226687b315-157c6%22	https://preview.cruip.com/mosaic/style.css	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/style.css	(from https://preview.cruip.com/mosaic/)
12:03:06	1346/1346	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Aug%202025%2019:03:05%20GMT	https://plausible.cruip.com/js/script.js	C:/Temp/DownloadedWebSites/Mosaic/plausible.cruip.com/js/script.js	(from https://preview.cruip.com/mosaic/)
12:03:06	156355/156355	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2008:47:17%20GMT	https://preview.cruip.com/mosaic/index.html	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/index-2.html	(from https://preview.cruip.com/mosaic/)
12:03:06	157730/157730	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2008:47:13%20GMT	https://preview.cruip.com/mosaic/analytics.html	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/analytics.html	(from https://preview.cruip.com/mosaic/)
12:03:07	165777/165777	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2008:47:15%20GMT	https://preview.cruip.com/mosaic/fintech.html	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/fintech.html	(from https://preview.cruip.com/mosaic/)
12:03:07	157597/157597	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2008:47:15%20GMT	https://preview.cruip.com/mosaic/customers.html	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/customers.html	(from https://preview.cruip.com/mosaic/)
12:03:07	174772/174772	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2008:47:16%20GMT	https://preview.cruip.com/mosaic/orders.html	C:/Temp/DownloadedWebSites/Mosaic/preview.cruip.com/mosaic/orders.html	(from https://preview.cruip.com/mosaic/)
